source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
673120056452067328 114.59537823925902 20.970348467002925 -1.3519740044784847 -1.8202268189712956  18.84251 364.54056 19.498087 30.189907 18.09971 29.905632 0.3526197659917178 0.27854386 4283.2036 0.95618653 1.0 0.0 19.6387004852295 0.0076439999975264 18.8087005615234 0.0037150001153349 18.4755001068115 0.0046379999257624 18.3264007568359 0.0119369998574257 18.236499786377 0.0200800001621246       0.0040573969242688 0.0360716219626595 0.036501595259613 114.59537823925902 20.970348467002925 0.6037515121812228 673120056452067328 2835.9158970784624 3590.0989  0.7833789298835702 1.9738748427358999 6.452061648958264 8.425936491694163 0.05607530694969478
673222482832407296 114.86079173066996 21.18406783670345 -1.182942403380538 -1.862003164008939  17.7534 764.05524 18.125061 72.554886 17.205667 94.67402 0.3024505959027819 0.11986898 5251.268 1.09797 1.0 0.0 18.1770992279053 0.0057029998861253 17.7233009338379 0.0039340001530945 17.551399230957 0.0041009997949004 17.5018005371094 0.0122140003368258 17.4850997924805 0.0133739998564124 16.531 0.116 16.217 0.233 15.766  0.0031001744165428 0.015222240724474 0.0120748613783704 114.86079173066996 21.18406783670345 0.4584075208211488 673222482832407296 3306.325110767626 8342.442  4.3388584768270295 0.1528273370844521 4.289206350097672 4.442033687182124 0.06681565033231801
673036669663524736 114.6431577341783 20.587523121015245 -1.0133356852053914 -1.8691365731093448  15.534044 2181.1323 15.7680435 326.3773 15.142769 325.41196 0.4072779809150206 0.0425504 6380.4673 1.0434346 1.0 0.0 15.7818002700806 0.0043339999392628 15.5389003753662 0.0034630000591278 15.4947004318237 0.0011549999471753 15.5060997009277 0.0063789999112486 15.5068998336792 0.0062130000442266 14.677 0.031 14.482 0.046 14.498 0.065 0.0027999249778614 0.0043418325818475 0.0050414227019187 114.6431577341783 20.587523121015245 0.9872888606422436 673036669663524736 2455.325470218956 23501.541  0.007071726442980621 4.808896556312676 3.963875400651913 8.772771956964588 0.06684418550181212
673110680539800192 114.29767655652115 20.978054301677957 -1.242789719736388 -1.929525618499556  15.057356 2395.9302 15.285936 466.82422 14.683232 1003.20905 0.3749583370250637 0.036420304 7008.8784 1.018807 1.0 0.0 15.2817001342773 0.0033080000430345 15.0733003616333 0.0020039998926222 15.027099609375 0.0022479998879134 15.0584001541138 0.0022269999608397 15.063099861145 0.004226999823004 14.294 0.028 14.107 0.039 14.098 0.045 0.0027923363087182 0.0036324039923829 0.0039312873675168 114.29767655652115 20.978054301677957 0.6600690244049502 673110680539800192 2666.9629696302923 27457.21  0.2068841793319125 0.05998435591619132 1.7237594071523503 1.7837437630685415 0.7374827696751303
865402654213230848 114.58610552116434 21.606939640040743 -1.1992956262373744 -1.9816986662317984  19.718088 250.90141 20.309624 7.1692348 18.890625 27.364367 0.6074376325642931 0.364691  1.0083336 1.0 0.0 21.0291996002197 0.0571799986064434 19.7248001098633 0.0134319998323917 19.2285995483398 0.0140380002558231 19.033899307251 0.0278730001300573 18.8143005371094 0.0545450001955032       0.0051300757878035 0.1514695076577087 0.0398566021388782 114.58610552116434 21.606939640040743 0.0360716698790873 865402654213230848 1646.2595440103175 2742.0474  4.598429118566184 0.0471699287839985 0.5287303942721502 0.5759003230561487 0.26987332366063793
673165449962877312 115.15744491103251 20.96221875202903 -1.1962281751592596 -2.3578324798748125  15.353355 2767.2842 15.806866 318.52448 14.734106 553.6029 0.3469845512319343 0.03284538 5170.72 0.98703104 1.0 0.0 15.8944997787476 0.0032899999059736 15.3380002975464 0.0020719999447464 15.0995998382568 0.0080340001732111 15.0006999969482 0.0048480001278221 14.9364995956421 0.0037730000913143 13.99 0.023 13.434 0.026 13.381 0.034 0.0027831143942291 0.0044049852841298 0.0042579460315064 115.15744491103251 20.96221875202903 0.8013766988639499 673165449962877312 2881.972688552268 30445.68  1.0047484797519917 0.06238832813123813 12.221787240839097 12.284175568970335 0.009947037040205626
865401967019510784 114.65478757407324 21.591838227463008 -1.3639833109831645 -2.040348676283191  15.044855 2325.326 15.267574 534.1122 14.678528 626.39526 0.3620299890745946 0.027729904 6856.2593 0.99413824 1.0 0.0 15.2399997711182 0.0021689999848604 15.0693998336792 0.0036700000055134 15.0267000198364 0.0015950000379234 15.0621995925903 0.0046330001205205 15.0718002319336 0.0034040000755339 14.287 0.029 14.084 0.041 14.052 0.05 0.0027946022421847 0.0034521400436406 0.0041578942963512 114.65478757407324 21.591838227463008 0.0521351551570967 865401967019510784 2762.202110814512 36062.152  0.4863297284278446 2.348677500208406 0.004710849099017707 2.3533883493074237 0.5849963045391384
865401726500329856 114.5907094716214 21.5808354347894 -1.3760404862621505 -2.193749255974366  18.245867 460.99414 18.509615 23.152828 17.462666 32.88541 0.5777694690364774 0.17402042  1.0113099 1.0 0.0 18.8824005126953 0.0432289987802505 18.2546997070313 0.0084939999505877 17.93630027771 0.0035119999665767 17.8061008453369 0.0466889999806881 17.7481002807617 0.0919599980115891       0.003624746212268 0.0469772559680531 0.0332313543409882 114.5907094716214 21.5808354347894 0.0125532148776028 865401726500329856 1730.794120477946 5746.4517  3.721526972835233 2.7577289900046518 2.7347079283807147 5.4924369183853665 0.055968326389470316
673050207400402048 114.9546739051448 20.68825875050861 -1.2826928708644874 -2.1266227952778047  15.928533 2016.1036 16.245792 254.60594 15.44706 427.8429 0.2887032057119757 0.0494295 5718.0684 1.0779312 1.0 0.0 16.2674999237061 0.0035470000002533 15.9156999588013 0.0024139999877661 15.7980003356934 0.0049919998273253 15.7915000915527 0.002915000077337 15.7551002502441 0.015004999935627 14.933 0.033 14.575 0.052 14.546 0.065 0.0028074554414512 0.0050960745670672 0.00455232244505 114.9546739051448 20.68825875050861 0.9448915887188188 673050207400402048 3463.764794484646 20230.834  6.169837316417159 0.4473850253669036 0.8100388527568404 1.2574238781237441 0.11495987107016792
865401108026091136 114.54711671228434 21.59547943818504 -1.305790315210288 -1.8846841651594568  15.445965 2582.8606 15.681324 297.0432 15.064334 447.82767 0.3824793881734927 0.03138787 6518.078 1.0043176 1.0 0.0 15.6725997924805 0.0027069998905062 15.4695997238159 0.0032959999516606 15.414999961853 0.0021780000533908 15.4364004135132 0.0024429999757558 15.4476003646851 0.0052789999172091 14.622 0.029 14.425 0.047 14.39 0.066 0.0027872017395831 0.0045983843124667 0.0044901769572024 114.54711671228434 21.59547943818504 0.0554119122783775 865401108026091136 2614.5199739401373 31859.441  0.10323251594714852 0.8358850514716244 3.299255039582384 4.135140091054009 0.3747057844118095
673105213045371904 114.2785120648995 20.84368586122241 -1.1491796048263756 -2.1789677810304484  17.829811 767.0694 18.367777 49.860416 17.158337 89.229996 0.2938608511220816 0.15144114 4631.726 0.9363321 1.0 0.0 18.4536991119385 0.0067839999683201 17.7679004669189 0.0038960000965744 17.5167999267578 0.0072519998066127 17.423900604248 0.0069059999659657 17.3474006652832 0.0069419997744262 16.357 0.092 15.648 0.131 15.516  0.0030976189535918 0.0219535433714808 0.0127412726217694 114.2785120648995 20.84368586122241 0.7902208943609416 673105213045371904 3402.971155162685 6603.2256  5.424723589856616 0.5619669688349331 2.213351661732836 2.775318630567769 0.084519210164383
673241655566707968 114.7255589955018 21.431310633610256 -1.2381698466542073 -2.0832508666608627  17.272697 940.2847 17.665056 81.45741 16.715977 144.82158 0.3366813038452241 0.08630893 5247.692 1.0467719 1.0 0.0 17.7154998779297 0.0040190001018345 17.2385997772217 0.0031880000606179 17.0659999847412 0.0052709998562932 17.0074996948242 0.0053190002217888 16.9769992828369 0.0053170002065599 16.123 0.089 15.802 0.164 15.586 0.183 0.0029874898375685 0.0136177873296855 0.0083958114382421 114.7255589955018 21.431310633610256 0.1832439599370209 673241655566707968 2970.16789640244 11586.287  1.5054361086170864 0.038350623091490996 0.17061521526163573 0.2089658383531267 0.7880998592997935
