source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5538105069697464704 118.53713227497497 -38.665134638553255 -2.071391702433801 1.5420355741492342  20.30402 186.42256 21.071575 7.8810463 19.614613 18.908384 0.7467975230151894 0.49201152  1.014946                   0.0064429392020707 0.1377937418400342 0.0575451303080005 118.53713227497497 -38.665134638553255 0.4061919995411286 5538105069697464704 1339.051040183566 2032.4727  2.492483678019898 3.636998915399538 8.318172810279618 11.955171725679156 0.005995225095468555
5538869234579116544 118.06091725487792 -38.53472362721698 -2.5784216218982827 0.5990791020055444  17.052565 914.5796 17.367811 42.539948 16.161638 79.6549 0.6469734594369053 0.059592865 4512.964 0.9623014                   0.0030001827395463 0.0256748033595025 0.0141447619218666 118.06091725487792 -38.53472362721698 0.012435517140139 5538869234579116544 1545.6584584943437 16780.533  2.4618254947889535 0.6755527139272476 2.1652382422022005 2.840790956129448 0.2576320939628979
5538490693345688448 118.0285898581584 -38.61372166038327 -2.219450618698712 0.7837661113522187  16.077929 1851.0679 16.570559 268.33997 15.418242 548.5235 0.7163392248699643 0.031086508 5520.6665 0.9476924                   0.0028170597181685 0.004914890724074 0.0042663415543694 118.0285898581584 -38.61372166038327 0.0803116660924808 5538490693345688448 1395.9866572733442 32168.297  0.505967441132011 1.232515201030013 0.3824052832946723 1.6149204843246854 0.7135359290584757
5538237870090211840 119.18593057973736 -38.09409090977691 -2.172128798136678 0.9632997654338172  19.294273 413.28937 20.13465 22.429705 18.481829 43.14198 0.6807742437512042 0.20838222  1.0524329                   0.0038069983819687 0.0484865219137901 0.0254487844768277 119.18593057973736 -38.09409090977691 0.9976161184961284 5538237870090211840 1468.9157370140751 4798.874  0.1598415124273403 1.8629235003401663 0.04447565491048153 1.9073991552506477 0.7233929439658976
5538039854918740352 118.66685604429247 -39.09134858180286 -2.463315151042646 1.3243972960991774  19.590889 317.0497 20.15042 20.61884 18.654867 47.901913 0.6972884605330143 0.2936266  1.056903                   0.004395335941116 0.0527313540609171 0.0229787552573239 118.66685604429247 -39.09134858180286 0.7381768535762115 5538039854918740352 1434.1267016459583 3405.686  0.01695953086616759 0.04095643496647542 3.5300166983325094 3.5709731332989847 0.4646345383689634
5538127270391140224 118.79893088874732 -38.55703638573534 -2.1476635242824127 1.3000691655865628  20.501215 152.2256 20.978592 6.1734557 19.74904 17.736921 0.7919291434087045 0.6661405  0.96585196                   0.0076461190942765 0.1758938399825426 0.0613299012715286 118.79893088874732 -38.55703638573534 0.5900699774040796 5538127270391140224 1262.7392340881595 1501.1848  7.51534876258611 2.239722344350643 3.1203812346332405 5.360103578983884 0.011900665085860612
5538978253737488000 118.07554222000816 -37.62243500593599 -3.0367038469852847 1.2282488254287842  19.785864 265.5361 20.85517 14.921433 18.784412 33.534687 0.671893447396495 0.33199224  0.956964                   0.0049305628732799 0.0728170081906547 0.0325963536336292 118.07554222000816 -37.62243500593599 0.9123256747891616 5538978253737488000 1488.3312285227332 3012.1187  0.4838702417102041 10.81459349489675 2.0584088507699776 12.873002345666727 0.009657500855378967
5538875797291982720 118.39715075667752 -38.340124512900125 -2.2465931309043468 0.9329389851906172  18.58839 416.9632     0.7222213337990592 0.18845905  1.0464611                   0.003791062686967   118.39715075667752 -38.340124512900125 0.3373944774291553 5538875797291982720 1384.6170878666207 5306.1924  0.7824033973334714 0.929482145379274 0.004991902609108721 0.9344740479883827 0.7876495796982926
5537738657445765248 118.1297505121972 -38.69430950386701 -2.432453051281956 0.4635202986311914  19.042744 452.0236 20.356213 18.208376 17.95072 83.83628 0.6131263710159143 0.18705791  1.0776112                   0.0036552884245814 0.0596936375039774 0.0134908725199011 118.1297505121972 -38.69430950386701 0.1730306726593822 5537738657445765248 1630.9851398873266 5345.938  8.231280018132933 0.0013152500838792783 4.400063880689815 4.401379130773694 0.013217404482288865
5538125548102085120 118.45599893076354 -38.33898366954247 -2.6890319801610465 1.3826208771473811  19.34151 375.09256 20.543621 16.262533 18.304678 75.9813 0.7198259248350456 0.26138592  1.0477778                   0.003996297644728 0.0668213212807391 0.0147808683319537 118.45599893076354 -38.33898366954247 0.3766080372591369 5538125548102085120 1389.2247632358597 3825.7607  0.6631417510677272 2.008636304755112 4.612931967001235 6.621568271756347 0.12158602666242041
