source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5343798245285322240 178.25897470740986 -55.34909731078054 -6.444245981415196 2.049576135930614  17.651257 1094.1849 18.175875 114.319855 16.867779 154.15994 0.5437979086521424 0.0887814 4480.9297 1.009139                   0.0029285501630203 0.009898726893301 0.0079929002588533 178.25897470740986 -55.34909731078054 0.4754229292906949 5343798245285322240 1838.9184365909025 11263.62  3.1131570336946393 0.6037237598059225 3.4049122428149152 4.008636002620838 0.12959030446406966
5343944583402052096 177.83828319298712 -55.771457809669066 -6.302944176178299 1.805902125417597  18.921886 586.0727 19.611471 37.40045 18.18749 85.83336 0.529269865915287 0.16084121 4272.471 1.0271906                   0.0033202073222199 0.0291638071158158 0.0132018856452706 177.83828319298712 -55.771457809669066 0.1422369891623737 5343944583402052096 1889.395305494412 6217.312  2.5493126604020246 4.6413417951769915 0.47404765773632546 5.115389452913317 0.10466212795073475
5343976568007072512 177.28927145704836 -55.242902087359056 -6.501536777402856 1.866179179932721  19.233059 456.98465 19.983318 25.903873 18.402872 40.075176 0.3344485592347389 0.26925912  0.9312442                   0.0036382067762947 0.042006814926553 0.0273548276701087 177.28927145704836 -55.242902087359056 0.4794882573964735 5343976568007072512 2989.996435589759 3713.8945  4.248283265210472 0.04775877684952456 0.0038122152206702168 0.05157099207019478 0.36694334731394407
5343762064468738688 178.33389121634303 -55.68007478335367 -6.644257403672126 2.18526484090247  20.422264 186.76257 21.087309 10.1928215 19.651707 16.265795 0.4885890339504103 0.5369832  0.99264634                   0.0064333562540705 0.1065562282737914 0.0668565651665134 178.33389121634303 -55.68007478335367 0.3855056763981071 5343762064468738688 2046.7098737658027 1862.2557  1.1531099457491285 1.3751626374152173 10.602498988624793 11.97766162604001 0.010654185665524432
5343982276036344576 177.90651878223517 -55.27211816003284 -6.203817892041343 1.73891424318813  18.542875 718.9891 19.318853 56.104443 17.74315 137.74251 0.3712338431430407 0.13513209 4109.1016 0.9674816                   0.003141998214794 0.019552162131642 0.0087415871217219 177.90651878223517 -55.27211816003284 0.4297115681866657 5343982276036344576 2693.719924707102 7400.167  1.1588009091047555 9.73839302286952 1.918389075575249 11.656782098444769 0.012212941001916775
5343793602406396032 178.09773197052695 -55.31875735557264 -6.423227739152274 2.173277735032112  17.70043 1318.2836 18.178064 134.50757 17.092724 201.90025 0.3853492579206417 0.079072036 4922.3936 0.97972065                   0.0028757787965889 0.0085405600509766 0.0065728357798591 178.09773197052695 -55.31875735557264 0.4384753287044649 5343793602406396032 2595.048464336056 12646.696  0.5603218067393481 0.9640846030146626 9.806320493776616 10.770405096791277 0.02308807639201177
5343951661493059584 177.66549195898912 -55.53400094604153 -6.459945996541645 1.9591808295102424  20.54328 171.72131 21.458414 7.5755863 19.903452 13.173202 0.5604526915214084 0.6821687  1.0590918                   0.0068969465896308 0.1433475759351132 0.0825066772477196 177.66549195898912 -55.53400094604153 0.1427894215048533 5343951661493059584 1784.271920053401 1465.9131  3.7870290880888327 0.3893212552909234 0.8195666049202848 1.208887860211208 0.28771669844538905
5343951180454972672 177.60625684006726 -55.58234607614584 -6.635238364822029 1.917043782745118  18.466362 764.1614 19.159609 56.96008 17.657675 104.46272 0.3744680627876211 0.12883228 4044.6785 0.99947107                   0.0031000839508877 0.0192644814566591 0.0110593465099761 177.60625684006726 -55.58234607614584 0.0973953981314733 5343951180454972672 2670.4547046169546 7762.03  0.998311416843276 1.1766989730593005 0.21823202650515403 1.3949309995644545 0.6638488155438953
5343963756119374464 177.5260668282628 -55.48079876880836 -6.293430774845574 1.7517827074790555  18.352228 789.01685 18.90605 63.392147 17.616886 116.69061 0.3968423006664983 0.13584618 4435.992 1.0677847                   0.0030798273331789 0.0173530801710732 0.0100426887260662 177.5260668282628 -55.48079876880836 0.2079280468304752 5343963756119374464 2519.8926584199708 7361.2666  0.24877139293642256 5.049512441004339 1.5656300534978431 6.615142494502182 0.14325690685079615
5343948530463238528 177.7460353082656 -55.67035041614555 -6.629140511100806 1.9990041405200545  19.10791 521.0372 19.879925 26.35399 18.226011 55.392918 0.6842635597418657 0.18695787  1.0352561                   0.0034545626985768 0.0412925456690641 0.0199616760130829 177.7460353082656 -55.67035041614555 0.0543936767555588 5343948530463238528 1461.4251858994858 5348.799  9.114325494929343 1.0512748463063626 1.7407813939031869 2.7920562402095497 0.018061183605835404
5343957021612660608 177.78035707000294 -55.50628598050554 -6.716070823541037 2.1132872323069383  19.723963 329.0354 20.243753 18.509962 19.020584 28.63354 0.5156903558236842 0.32576498  1.0806651                   0.0042988571047701 0.0587231807618326 0.0381062206166464 177.78035707000294 -55.50628598050554 0.1854513095033437 5343957021612660608 1939.1481510309695 3069.6975  2.048635737264984 3.506988916973188 6.288639834251825 9.795628751225014 0.018547720264084685
5343868991967443712 177.3006764870062 -55.70483174486705 -6.455922176788357 1.882433865039737  20.57153 161.85924 21.508936 7.486014 19.589264 18.173172 0.5787651955601993 0.8952142  1.0834129                   0.0072517421056674 0.1450621272330599 0.0598633238252368 177.3006764870062 -55.70483174486705 0.1990356985318212 5343868991967443712 1727.8164058087118 1117.051  4.55248856631276 0.4398070412403919 0.011507931708615509 0.4513149729490074 0.28690745090205666
