source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5936064026240845184 253.64205303521987 -52.99295998255185 -4.040335072094503 -5.161326319110557  15.241907 2439.6438 15.671327 580.8577 14.612805 856.31354 0.5546576325263022 0.043279473 5275.928 1.5331959             13.858 0.042 13.495 0.042 13.414  0.0027910300891429 0.0033584129560685 0.0039863950358884 253.64205303521987 -52.99295998255185 0.7362317492500704 5936064026240845184 1802.9139803689247 23105.643  0.3818419933393512 14.826246977178657 1.0958865058756546 15.922133483054312 0.0026372550847472273
5936062793651362944 253.56244584714804 -53.04470779503011 -4.405671737334698 -5.33740130480642  18.144272 781.2593 18.90645 62.345104 17.303461 178.34142 0.5362062929636598 0.1349308 3978.5757 1.0433376             16.148 0.099 15.595 0.16 15.25  0.0030859564663778 0.0176370394052123 0.0071656847870752 253.56244584714804 -53.04470779503011 0.8004435971395609 5936062793651362944 1864.9538677976172 7411.2065  1.0272839434428267 1.2465906851013453 0.08296674847153013 1.3295574335728755 0.670440359797835
5935902432397413888 255.06866248267764 -53.041371392745056 -4.335245358210802 -5.22187548748108  17.991615 1005.2995 18.79618 100.03115 17.153145 179.18265 0.5199448013278201 0.13157736 3977.403 0.9740861             15.96 0.089 15.658 0.177 15.204 0.173 0.0029594284565402 0.0112068707031042 0.0071414174647814 255.06866248267764 -53.041371392745056 0.3727366576342052 5935902432397413888 1923.2810818498976 7600.092  1.9195871923506547 2.701225303744879 0.34551090453951616 3.046736208284395 0.29077041228482753
5935960676503327744 254.32667938654816 -53.00200507271568 -4.679388203839018 -5.355776485231028  16.483164 2355.3025 16.984215 247.20189 15.805734 454.94446 0.5782800696775048 0.055424318 5166.39 0.9882148             14.964 0.055 14.451 0.076 14.344 0.086 0.0027936155077975 0.0052034237802674 0.0044698128740434 254.32667938654816 -53.00200507271568 0.3929816221569318 5935960676503327744 1729.265891106501 18042.623  0.02199106311817397 0.8683164404507112 0.18262639892079266 1.050942839371504 0.8985424234595726
5935960637789208704 254.3283481469028 -53.01181580040192 -4.186177715437539 -5.6592472952348585  18.183378 968.40704 18.765085 93.07833 17.493587 133.42093 0.5790166297190115 0.14139451 4617.0044 0.9594591             16.481 0.141 16.995  15.78  0.0029746902561725 0.0119938162189908 0.0089724849899777 254.3283481469028 -53.01181580040192 0.3995127342694299 5935960637789208704 1727.06611291162 7072.41  0.01802743254764945 7.612525721387564 7.442341123721719 15.054866845109283 0.00455239303058805
5935960161107241088 254.2719036389309 -53.039504813227325 -4.713959718392106 -5.329031502879104  18.8555 592.05493 19.935848 42.85376 17.978922 106.97137 0.4910376902416841 0.20231487 3627.5107 0.95633787             16.547 0.141 15.83 0.17 15.39  0.0033097994063265 0.0254890187782353 0.0108305969377496 254.2719036389309 -53.039504813227325 0.4428748677247254 5935960161107241088 2036.5035513013456 4942.7905  4.441513067925952 1.4174072896426675 0.05043847741636642 1.467845767059034 0.20602044303502198
5924280319610843136 256.06437577905746 -52.97934523587187 -4.183704152585326 -5.659588655428347  18.543987 664.7816 19.239824 56.776546 17.775124 132.8335 0.5444838180591621 0.18065155 4168.537 1.011063             16.55 0.132 15.792 0.19 16.794  0.0032029993294657 0.0193254504945674 0.0090051368814011 256.06437577905746 -52.97934523587187 0.8247308931615684 5924280319610843136 1836.6018728794295 5535.5186  0.6934807373385586 7.715013847366791 7.456468123860313 15.171481971227104 0.003205820770448835
5935867041861223168 254.2448579544816 -53.04807077617362 -4.946211878847308 -5.264703571379414  18.431908 823.6481 19.190193 48.63365 17.49111 77.36803 0.5884626188355807 0.15589134 3773.9824 0.95005816             16.361 0.123 15.402 0.123 15.41 0.201 0.0030544150442368 0.0224984761338495 0.0145334079777833 254.2448579544816 -53.04807077617362 0.4602744923145092 5935867041861223168 1699.3432853538734 6414.724  0.0018076872028980817 8.576676714566263 0.06922540579310318 8.645902120359366 0.07053422282156674
5923904668912193664 256.0221019512401 -53.024435651924286 -4.706203230589149 -5.50469724454388  17.829468 1005.33136 18.53491 100.67607 17.021925 206.10039 0.6107976635787191 0.12057046 4189.9385 0.9802445             15.986 0.119 15.442 0.14 15.129 0.167 0.0029594159658847 0.0111395440825185 0.0064834804100438 256.0221019512401 -53.024435651924286 0.8162364444781496 5923904668912193664 1637.2033811342842 8293.905  0.19252017742535107 1.2825650225517986 2.422281268209499 3.7048462907612976 0.4200739445643037
5935915012407885440 254.87884098679413 -53.00288640479842 -4.752634904084621 -4.937708977698622  16.44383 2282.308 16.941698 197.27214 15.7438 389.9656 0.591958970504285 0.06080098 5126.1006 1.0480158             14.877 0.083 14.339 0.079 13.028  0.0027960861042821 0.0061705991444629 0.0046941889844052 254.87884098679413 -53.00288640479842 0.29535934960916 5935915012407885440 1689.306269230295 16447.104  0.011346732154066765 2.190319896360438 7.519477233615764 9.709797129976202 0.04539629736576578
5935958271321839488 254.57032583190824 -52.99917137783571 -4.776140301796978 -5.206681781621896  15.287235 4136.1924 15.747292 565.3225 14.649958 1053.7532 0.8023893382237852 0.032772195 5219.9536 1.0661641             13.812 0.03 13.48 0.028 13.348 0.038 0.0027677958450736 0.0033872705969607 0.0039173142693471 254.57032583190824 -52.99917137783571 0.3090918893491962 5935958271321839488 1246.277776090167 30513.674  8.594449637240963 2.7419199781118127 0.49419564931950205 3.2361156274313148 0.018656721499576742
5935878311855439488 253.9649398566769 -53.031723512774455 -4.633978446662878 -5.068815226476636  18.160498 593.2899 18.801811 66.69048 17.214775 159.39743 0.4446763062761256 0.13300627 4747.2686 1.0198963             16.242 0.102 15.749 0.155 15.189 0.149 0.00330768589667 0.0165175918467457 0.007789756797007 253.9649398566769 -53.031723512774455 0.5806013988028714 5935878311855439488 2248.8268115167825 7518.442  11.9815298917551 0.3504798418065173 3.056219412798033 3.4066992546045505 0.003960170249743275
